_id,Proj ID,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,OC_Existing,OC_FY,OC_Future,Grant_Existing,Grant_FY,Grant_Future,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,OC_Expended,OC_Year_0,OC_Year_1,OCYear_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
85,CTD25302,Transportation Department,SS4A 2024: Safer Intersections,"Leverage a federal grant, make safety improvements at multiple intersections across the city.",Transportation Department,In Design,Multiple Neighborhoods,3600000,0,0,0,0,0,14400000,0,0,0,0,500000,3100000,0,0,0,0,0,0,3000000,11400000,0,18000000
86,CTD25155,Transportation Department,Southwest Neighborhood Transit Action Plan,Study and develop a Transportation Action Plan for the southwest neighborhoods of Boston.,Transportation Department,Study Underway,Multiple Neighborhoods,1600000,0,0,0,0,0,0,0,0,351594,300000,300000,648406,0,0,0,0,0,0,0,0,0,1600000
87,CTD25215,Transportation Department,Thoreau Path / Canal Street,Pedestrian improvements to Thoreau Path and Canal Street in the West End and Bulfinch Triangle.,Transportation Department,In Design,West End,0,0,0,0,0,0,4735000,0,0,0,0,0,0,0,0,0,0,0,150000,2500000,2085000,0,4735000
88,CTD24987,Transportation Department,Traffic Signal Construction at 5 locations,Design and construct safety improvements to various traffic signals throughout the City.,Transportation Department,In Construction,Multiple Neighborhoods,4000000,0,0,4000000,0,0,0,0,0,598021,0,500000,2901979,0,0,500000,3500000,0,0,0,0,0,8000000
89,CTD25082,Transportation Department,Traffic Signals,"Provide traffic signal design services, install or upgrade existing traffic signals and controls, install new control boxes and battery backup equipment.",Transportation Department,Annual Program,Citywide,16000000,0,0,0,0,0,0,0,0,2742464,2000000,2000000,9257536,0,0,0,0,0,0,0,0,0,16000000
90,CTD25214,Transportation Department,Tremont/Columbus Phases I & II,"Support the MBTA's continuation of the center-running bus lane on Columbus Avenue, and constructing traffic calming infrastructure on the streets adjacent to Columbus Avenue.",Transportation Department,Study Underway,Multiple Neighborhoods,3300000,0,0,0,0,0,0,0,0,0,0,0,3300000,0,0,0,0,0,0,0,0,0,3300000
91,CMS25191,Department of Innovation and Technology,311 Modernization,Upgrade the front and back ends of the BOS:311 system to modernize the software architecture for improved security and provide usability and access improvements.,Department of Innovation and Technology,Implementation Underway,Citywide,6000000,0,0,0,0,0,0,0,0,51321,1435000,2000000,2513679,0,0,0,0,0,0,0,0,0,6000000
92,CMS25006,Department of Innovation and Technology,Citywide Revenue Modernization,Planning and design of a centralized collections system to maximize City revenue.,Department of Innovation and Technology,To Be Scheduled,Citywide,650000,0,0,0,0,0,0,0,0,0,0,0,650000,0,0,0,0,0,0,0,0,0,650000
93,CMS24556,Department of Innovation and Technology,Core Technology Infrastructure,"Modernization of municipal networks and data systems, including server hardware, cybersecurity appliances, fiber-optic cabling, and telecommunications equipment.",Department of Innovation and Technology,Annual Program,Citywide,12500000,0,0,0,0,0,0,0,0,1654975,350000,4020000,6475025,0,0,0,0,0,0,0,0,0,12500000
94,CMS24177,Department of Innovation and Technology,Cyber Security and Resiliency,Implement solutions to manage and mitigate cyber security risks.,Department of Innovation and Technology,Annual Program,Citywide,10500000,0,0,0,0,0,0,0,0,3193215,1110000,1000000,5196785,0,0,0,0,0,0,0,0,0,10500000
